T/s,ref/rad,theta 1/rad,theta 2/rad
0.038,0,-0.000254701,-0.000405574
0.0381,0,-0.000253047,-0.000403865
0.0382,0,-0.000250079,-0.000403675
0.0383,0,-0.000246011,-0.000404765
0.0384,0,-0.000241221,-0.000406705
0.0385,0,-0.000236191,-0.000408946
0.0386,0,-0.000231429,-0.000410908
0.0387,0,-0.000227399,-0.000412059
0.0388,0,-0.000224472,-0.000411976
0.0389,0,-0.000222869,-0.000410403
0.039,0,-0.000222625,-0.000407301
0.0391,0,-0.000223576,-0.000402862
0.0392,0,-0.00022537,-0.000397487
0.0393,0,-0.000227535,-0.000391721
0.0394,0,-0.000229555,-0.00038616
0.0395,0,-0.00023094,-0.000381369
0.0396,0,-0.00023129,-0.000377811
0.0397,0,-0.000230348,-0.000375787
0.0398,0,-0.000228045,-0.00037538
0.0399,0,-0.000224521,-0.000376434
0.04,0,-0.000220108,-0.000378572
0.0401,0,-0.000215278,-0.000381255
0.0402,0,-0.000210562,-0.000383874
0.0403,0,-0.000206474,-0.000385843
0.0404,0,-0.000203443,-0.000386667
0.0405,0,-0.000201763,-0.000386011
0.0406,0,-0.000201544,-0.000383746
0.0407,0,-0.00020269,-0.000379984
0.0408,0,-0.000204902,-0.000375066
0.0409,0,-0.00020773,-0.000369512
0.041,0,-0.000210645,-0.000363929
0.0411,0,-0.00021312,-0.000358924
0.0412,0,-0.000214697,-0.000355026
0.0413,0,-0.00021504,-0.000352623
0.0414,0,-0.000213983,-0.000351913
0.0415,0,-0.000211563,-0.000352854
0.0416,0,-0.000208026,-0.000355167
0.0417,0,-0.000203791,-0.000358375
0.0418,0,-0.000199371,-0.000361888
0.0419,0,-0.000195303,-0.000365092
0.042,0,-0.000192069,-0.000367433
0.0421,0,-0.000190048,-0.000368475
0.0422,0,-0.000189461,-0.000367963
0.0423,0,-0.000190334,-0.000365864
0.0424,0,-0.000192484,-0.000362387
0.0425,0,-0.000195548,-0.000357949
0.0426,0,-0.000199044,-0.000353103
0.0427,0,-0.000202449,-0.000348449
0.0428,0,-0.000205272,-0.000344552
0.0429,0,-0.00020711,-0.000341876
0.043,0,-0.000207702,-0.000340726
0.0431,0,-0.000206967,-0.000341192
0.0432,0,-0.000205033,-0.000343136
0.0433,0,-0.000202214,-0.000346193
0.0434,0,-0.000198973,-0.000349834
0.0435,0,-0.000195853,-0.000353436
0.0436,0,-0.000193402,-0.000356366
0.0437,0,-0.000192114,-0.000358053
0.0438,0,-0.000192365,-0.000358062
0.0439,0,-0.000194349,-0.000356164
0.044,0,-0.000198038,-0.000352382
0.0441,0,-0.00020318,-0.000347001
0.0442,0,-0.000209346,-0.000340507
0.0443,0,-0.000216002,-0.000333509
0.0444,0,-0.000222583,-0.000326651
0.0445,0,-0.000228564,-0.000320532
0.0446,0,-0.000233513,-0.000315646
0.0447,0,-0.000237141,-0.000312324
0.0448,0,-0.000239339,-0.00031069
0.0449,0,-0.0002402,-0.000310633
0.045,0,-0.000240019,-0.000311815
0.0451,0,-0.000239245,-0.000313716
0.0452,0,-0.00023841,-0.000315722
0.0453,0,-0.000238049,-0.000317217
0.0454,0,-0.000238626,-0.000317662
0.0455,0,-0.000240481,-0.000316662
0.0456,0,-0.000243781,-0.000314019
0.0457,0,-0.000248485,-0.000309777
0.0458,0,-0.000254337,-0.000304224
0.0459,0,-0.000260906,-0.000297852
0.046,0,-0.000267657,-0.000291272
0.0461,0,-0.000274035,-0.000285118
0.0462,0,-0.000279538,-0.000279968
0.0463,0,-0.000283772,-0.000276272
0.0464,0,-0.000286506,-0.000274297
0.0465,0,-0.000287709,-0.000274079
0.0466,0,-0.000287567,-0.000275404
0.0467,0,-0.000286457,-0.00027784
