T/s,theta 1 velocity/rad/s, theta 2  velocity/rad/s
0.0314,0.112827598,0.286387508
0.0315,0.106140469,0.291071088
0.0316,0.101395256,0.293553987
0.0317,0.09862685,0.293790763
0.0318,0.097691912,0.291939247
0.0319,0.098248488,0.288384704
0.032,0.099692122,0.283814134
0.0321,0.101318586,0.279029736
0.0322,0.102569867,0.27466639
0.0323,0.103189505,0.271015215
0.0324,0.103187915,0.268063451
0.0325,0.102756865,0.265591832
0.0326,0.102168972,0.263289331
0.0327,0.101586455,0.260972714
0.0328,0.101041509,0.258608951
0.0329,0.100485591,0.256258399
0.033,0.099825194,0.254033568
0.0331,0.098907722,0.252114482
0.0332,0.097463363,0.250813806
0.0333,0.095158874,0.25051529
0.0334,0.09168379,0.251575578
0.0335,0.086932356,0.254115354
0.0336,0.081024398,0.257995428
0.0337,0.074361759,0.262753972
0.0338,0.06743711,0.267826708
0.0339,0.060772822,0.272616554
0.034,0.054816384,0.276612759
0.0341,0.049790651,0.279560444
0.0342,0.045700548,0.281452756
0.0343,0.042398379,0.282456694
0.0344,0.039634388,0.282855658
0.0345,0.037108658,0.282990278
0.0346,0.034442768,0.283291521
0.0347,0.031269398,0.284178226
0.0348,0.027395535,0.28587178
0.0349,0.022817232,0.28837921
0.035,0.017668935,0.291550495
0.0351,0.012173219,0.295135558
0.0352,0.0066432,0.298780293
0.0353,0.001393819,0.302125777
0.0354,-0.003253853,0.304803032
0.0355,-0.007114045,0.306596497
0.0356,-0.010184681,0.307500436
0.0357,-0.012609397,0.307675837
0.0358,-0.014621986,0.307386986
0.0359,-0.016570514,0.307029649
0.036,-0.018834331,0.307035977
0.0361,-0.021735311,0.307773238
0.0362,-0.025397869,0.309384891
0.0363,-0.027199575,0.308907536
0.0364,-0.01741677,0.295351734
0.0365,0.00149782,0.271523197
0.0366,0.026976907,0.240357179
0.0367,0.055813752,0.205518573
0.0368,0.084617273,0.170880683
0.0369,0.110344621,0.139917476
0.037,0.130566829,0.115400433
0.0371,0.143659387,0.099181119
0.0372,0.148896688,0.092083518
0.0373,0.146446791,0.093910189
0.0374,0.137274998,0.103552553
0.0375,0.122992068,0.119164641
0.0376,0.105745475,0.138288757
0.0377,0.088018728,0.158084214
