T/s,ref/rad,theta 1/rad,theta 2/rad
0.0284,0,-0.001987338,-0.00331721
0.0285,0,-0.001988435,-0.003335386
0.0286,0,-0.001989809,-0.003353617
0.0287,0,-0.00199151,-0.003371847
0.0288,0,-0.001993635,-0.003389963
0.0289,0,-0.001996625,-0.003407455
0.029,0,-0.002001071,-0.00342364
0.0291,0,-0.002007362,-0.003438066
0.0292,0,-0.002015702,-0.003450493
0.0293,0,-0.002026123,-0.003460873
0.0294,0,-0.00203851,-0.003469336
0.0295,0,-0.00205262,-0.00347615
0.0296,0,-0.002068127,-0.003481684
0.0297,0,-0.00208465,-0.00348637
0.0298,0,-0.002101798,-0.003490652
0.0299,0,-0.002119197,-0.003494954
0.03,0,-0.002136523,-0.003499648
0.0301,0,-0.002153525,-0.00350502
0.0302,0,-0.002170045,-0.00351125
0.0303,0,-0.00218604,-0.003518388
0.0304,0,-0.002201579,-0.003526356
0.0305,0,-0.002216827,-0.003534967
0.0306,0,-0.002232012,-0.003543961
0.0307,0,-0.00224739,-0.003553046
0.0308,0,-0.002263212,-0.003561933
0.0309,0,-0.002279703,-0.003570366
0.031,0,-0.002297041,-0.00357814
0.0311,0,-0.002315342,-0.00358512
0.0312,0,-0.002334658,-0.003591243
0.0313,0,-0.002354966,-0.003596536
0.0314,0,-0.002376173,-0.003601101
0.0315,0,-0.002398129,-0.003605106
0.0316,0,-0.002420652,-0.003608758
0.0317,0,-0.002443546,-0.00361228
0.0318,0,-0.002466621,-0.003615887
0.0319,0,-0.002489712,-0.003619768
0.032,0,-0.0025127,-0.003624058
0.0321,0,-0.002535534,-0.003628816
0.0322,0,-0.002558225,-0.003634031
0.0323,0,-0.002580824,-0.003639644
0.0324,0,-0.002603394,-0.003645586
0.0325,0,-0.002625986,-0.003651798
0.0326,0,-0.002648629,-0.003658248
0.0327,0,-0.002671331,-0.003664929
0.0328,0,-0.002694089,-0.003671845
0.0329,0,-0.002716902,-0.003678995
0.033,0,-0.002739777,-0.003686375
0.0331,0,-0.00276273,-0.00369396
0.0332,0,-0.002785803,-0.003701706
0.0333,0,-0.002809066,-0.003709528
0.0334,0,-0.00283262,-0.00371731
0.0335,0,-0.002856588,-0.003724908
0.0336,0,-0.002881092,-0.003732181
0.0337,0,-0.002906227,-0.003739021
0.0338,0,-0.002932041,-0.003745368
0.0339,0,-0.002958534,-0.003751223
0.034,0,-0.002985657,-0.003756641
0.0341,0,-0.003013326,-0.003761713
0.0342,0,-0.003041449,-0.003766547
0.0343,0,-0.00306994,-0.003771237
0.0344,0,-0.003098733,-0.003775859
0.0345,0,-0.003127789,-0.003780454
0.0346,0,-0.003157106,-0.003785028
0.0347,0,-0.003186715,-0.00378954
0.0348,0,-0.003216679,-0.003793922
0.0349,0,-0.003247067,-0.003798091
0.035,0,-0.003277942,-0.003801975
0.0351,0,-0.00330935,-0.00380552
0.0352,0,-0.00334131,-0.003808704
0.0353,0,-0.003373808,-0.003811539
0.0354,0,-0.0034068,-0.003814074
0.0355,0,-0.003440215,-0.003816387
0.0356,0,-0.003473974,-0.003818568
0.0357,0,-0.003508007,-0.003820697
0.0358,0,-0.003542261,-0.003822832
0.0359,0,-0.003576712,-0.003825
0.036,0,-0.003611375,-0.003827184
0.0361,0,-0.003646298,-0.00382933
0.0362,0,-0.00368155,-0.003831355
0.0363,0,-0.003717072,-0.003833329
0.0364,0,-0.003752167,-0.003836036
0.0365,0,-0.003785805,-0.003840637
0.0366,0,-0.003817209,-0.003848005
0.0367,0,-0.003845888,-0.003858681
0.0368,0,-0.003871686,-0.003872832
0.0369,0,-0.003894765,-0.003890254
0.037,0,-0.00391556,-0.003910434
0.0371,0,-0.003934706,-0.003932632
0.0372,0,-0.003952954,-0.003955974
0.0373,0,-0.003971081,-0.003979559
0.0374,0,-0.003989806,-0.004002552
0.0375,0,-0.004009715,-0.004024268
0.0376,0,-0.004031208,-0.004044238
0.0377,0,-0.004054451,-0.004062262
0.0378,0,-0.00407936,-0.004078421
0.0379,0,-0.004105612,-0.004093074
0.038,0,-0.004132684,-0.004106806
0.0381,0,-0.00415992,-0.004120356
0.0382,0,-0.004186626,-0.004134507
0.0383,0,-0.004212163,-0.004149977
0.0384,0,-0.004236038,-0.00416732
0.0385,0,-0.004257964,-0.004186853
0.0386,0,-0.004277906,-0.004208606
0.0387,0,-0.004296075,-0.004232329
0.0388,0,-0.004312899,-0.004257524
0.0389,0,-0.004328956,-0.004283519
0.039,0,-0.004344895,-0.004309564
0.0391,0,-0.004361349,-0.004334928
0.0392,0,-0.004378854,-0.004358989
0.0393,0,-0.004397785,-0.004381311
0.0394,0,-0.004418307,-0.004401696
0.0395,0,-0.004440355,-0.004420211
0.0396,0,-0.004463641,-0.004437178
0.0397,0,-0.004487691,-0.004453131
0.0398,0,-0.004511916,-0.004468734
0.0399,0,-0.004535694,-0.004484692
0.04,0,-0.004558456,-0.004501649
0.0401,0,-0.004579759,-0.004520103
0.0402,0,-0.00459935,-0.004540337
0.0403,0,-0.004617194,-0.004562385
0.0404,0,-0.004633485,-0.004586019
0.0405,0,-0.004648613,-0.004610787
0.0406,0,-0.004663111,-0.004636076
