T/s,theta 1 torque/Nm,theta 2 torque/Nm
0.0759,0.363530747,0.525751875
0.076,0.363087212,0.524473768
0.0761,0.364206962,0.521043728
0.0762,0.366593875,0.515790158
0.0763,0.36970974,0.509303686
0.0764,0.372849213,0.502354651
0.0765,0.37531412,0.495776764
0.0766,0.376519174,0.490283402
0.0767,0.376049951,0.486378007
0.0768,0.373691024,0.484327213
0.0769,0.369431905,0.48415687
0.077,0.363509246,0.485591796
0.0771,0.356394061,0.488081835
0.0772,0.348748835,0.490881445
0.0773,0.341318865,0.493156439
0.0774,0.334757371,0.494166303
0.0775,0.329540138,0.493364681
0.0776,0.325937273,0.490441023
0.0777,0.324004505,0.485330355
0.0778,0.323555035,0.478210566
